Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
142;67.035;0;7.65739e+06;342609;
143;67.5038;0;7.64843e+06;351565;
144;67.9726;0;7.63948e+06;360522;
145;68.4414;0;7.63052e+06;369478;
146;68.9101;0;7.62157e+06;378434;
147;69.3789;0;7.61261e+06;387391;
148;69.8477;0;7.60365e+06;396347;
149;70.3165;0;7.5947e+06;405303;
150;70.7852;0;7.58574e+06;414260;
151;71.254;0;7.57678e+06;423216;
152;71.7228;0;7.56783e+06;432173;
153;72.1916;0;7.55887e+06;441129;
154;72.6603;0;7.54991e+06;450085;
155;73.1291;0;7.54117e+06;458835;
156;73.5979;0;7.53287e+06;467127;
157;74.0667;0;7.52458e+06;475420;
158;74.5355;0;7.51629e+06;483712;
159;75.0042;0;7.508e+06;492005;
160;75.473;0;7.4997e+06;500298;
161;75.9418;0;7.49141e+06;508590;
162;76.4106;0;7.48312e+06;516883;
163;76.8793;0;7.47482e+06;525175;
164;77.3481;0;7.46653e+06;533468;
165;77.8169;0;7.45798e+06;542024;
166;78.2857;0;7.44923e+06;550770;
167;78.7544;0;7.44048e+06;559516;
168;79.2232;0;7.43174e+06;568263;
169;79.692;0;7.42299e+06;577009;
170;80.1608;0;7.41425e+06;585755;
171;80.6295;0;7.4055e+06;594501;
172;81.0983;0;7.39675e+06;603247;
173;81.5671;0;7.38801e+06;611994;
174;82.0359;0;7.37926e+06;620740;
175;82.5047;0;7.36693e+06;633066;
176;82.9734;0;7.35398e+06;646021;
177;83.4422;0;7.34102e+06;658976;
178;83.911;0;7.32943e+06;670574;
179;84.3798;0;7.31871e+06;681294;
180;84.8485;0;7.30799e+06;692013;
181;85.3173;0;7.29727e+06;702732;
182;85.7861;0;7.28655e+06;713452;
183;86.2549;0;7.27583e+06;724171;
184;86.7236;0;7.26511e+06;734890;
185;87.1924;0;7.25439e+06;745610;
186;87.6612;0;7.24367e+06;756329;
187;88.13;0;7.23295e+06;767048;
188;88.5987;0;7.22192e+06;778077;
