Step;RediscrTime/s;SumRediscrVolume--8e+06--;X;lnt;ln(-ln(1-X))
111;52.503;185765;0.0232206;3.96087;-3.75099
112;52.9717;188936;0.023617;3.96976;-3.73386
113;53.4405;193322;0.0241653;3.97857;-3.71063
114;53.9093;199041;0.0248801;3.9873;-3.68112
115;54.3781;204759;0.0255949;3.99596;-3.65243
116;54.8468;210478;0.0263097;4.00454;-3.62452
117;55.3156;216196;0.0270245;4.01306;-3.59734
118;55.7844;221915;0.0277393;4.02149;-3.57087
119;56.2532;227633;0.0284542;4.02986;-3.54506
120;56.7219;233352;0.029169;4.03816;-3.51988
121;57.1907;239070;0.0298838;4.04639;-3.49531
122;57.6595;244789;0.0305986;4.05456;-3.4713
123;58.1283;249837;0.0312296;4.06265;-3.45057
124;58.5971;254657;0.0318322;4.07068;-3.43115
125;59.0658;259478;0.0324347;4.07865;-3.41208
126;59.5346;264298;0.0330373;4.08656;-3.39337
127;60.0034;269119;0.0336399;4.0944;-3.37498
128;60.4722;273940;0.0342424;4.10218;-3.35692
129;60.9409;278760;0.034845;4.10991;-3.33916
130;61.4097;283581;0.0354476;4.11757;-3.32171
131;61.8785;288401;0.0360501;4.12517;-3.30454
132;62.3473;293222;0.0366527;4.13272;-3.28766
133;62.816;298042;0.0372553;4.14021;-3.27104
134;63.2848;302863;0.0378579;4.14765;-3.25468
135;63.7536;307683;0.0384604;4.15503;-3.23858
136;64.2224;312504;0.039063;4.16235;-3.22272
137;64.6911;317325;0.0396656;4.16962;-3.2071
138;65.1599;322145;0.0402681;4.17684;-3.19171
139;65.6287;326966;0.0408707;4.18401;-3.17655
140;66.0975;331786;0.0414733;4.19113;-3.1616
141;66.5663;336607;0.0420758;4.1982;-3.14687
142;67.035;342609;0.0428261;4.20522;-3.1288
143;67.5038;351565;0.0439457;4.21218;-3.10242
144;67.9726;360522;0.0450652;4.2191;-3.07668
145;68.4414;369478;0.0461848;4.22598;-3.05156
146;68.9101;378434;0.0473043;4.2328;-3.02702
147;69.3789;387391;0.0484238;4.23958;-3.00305
148;69.8477;396347;0.0495434;4.24632;-2.97961
149;70.3165;405303;0.0506629;4.25301;-2.95668
150;70.7852;414260;0.0517825;4.25965;-2.93424
151;71.254;423216;0.052902;4.26625;-2.91226
152;71.7228;432173;0.0540216;4.27281;-2.89073
153;72.1916;441129;0.0551411;4.27932;-2.86963
154;72.6603;450085;0.0562607;4.2858;-2.84895
155;73.1291;458835;0.0573543;4.29223;-2.82912
156;73.5979;467127;0.0583909;4.29862;-2.81066
157;74.0667;475420;0.0594275;4.30497;-2.79252
158;74.5355;483712;0.060464;4.31127;-2.77468
159;75.0042;492005;0.0615006;4.31754;-2.75714
160;75.473;500298;0.0625372;4.32378;-2.73988
161;75.9418;508590;0.0635738;4.32997;-2.72289
162;76.4106;516883;0.0646103;4.33612;-2.70617
163;76.8793;525175;0.0656469;4.34224;-2.68971
164;77.3481;533468;0.0666835;4.34832;-2.67349
165;77.8169;542024;0.067753;4.35436;-2.65701
166;78.2857;550770;0.0688463;4.36036;-2.64043
