GrainID/Step;;;;;;;;;0;80000;160000;240000;320000;400000;480000;560000;640000;720000;800000;880000;960000;1.04e+06;1.12e+06;1.2e+06;1.28e+06;1.36e+06;1.44e+06;1.52e+06;1.6e+06;1.68e+06;1.76e+06;1.84e+06;1.92e+06;2e+06;2.08e+06;2.16e+06;2.24e+06;2.32e+06;2.4e+06;2.48e+06;2.56e+06;2.64e+06;2.72e+06;2.8e+06;2.88e+06;2.96e+06;3.04e+06;3.12e+06;3.2e+06;3.28e+06;3.36e+06;3.44e+06;3.52e+06;3.6e+06;3.68e+06;3.76e+06;3.84e+06;3.92e+06;4e+06;4.08e+06;4.16e+06;4.24e+06;4.32e+06;4.4e+06;4.48e+06;4.56e+06;4.64e+06;4.72e+06;4.8e+06;4.88e+06;4.96e+06;5.04e+06;5.12e+06;5.2e+06;5.28e+06;5.36e+06;5.44e+06;5.52e+06;5.6e+06;5.68e+06;5.76e+06;5.84e+06;5.92e+06;6e+06;6.08e+06;6.16e+06;6.24e+06;6.32e+06;6.4e+06;6.48e+06;6.56e+06;6.64e+06;6.72e+06;6.8e+06;6.88e+06;6.96e+06;7.04e+06;7.12e+06;7.2e+06;7.28e+06;7.36e+06;7.44e+06;7.52e+06;7.6e+06;7.68e+06;7.76e+06;7.84e+06;7.92e+06;8e+06
3;178;35;7;1;0;0.523599;0.785398;2;1;93;203;263;365;492;578;663;701;799;899;917;1005;1112;1162;1218;1285;1336;1416;1549;1596;1601;1678;1735;1795;1862;1914;1990;2018;2119;2157;2239;2284;2295;2352;2405;2430;2466;2526;2561;2648;2691;2707;2772;2821;2890;2943;2969;3008;3065;3104;3127;3192;3237;3320;3370;3386;3443;3499;3523;3563;3628;3663;3758;3804;3818;3886;3939;4008;4072;4097;4138;4207;4270;4340;4402;4466;4520;4581;4637;4693;4774;4850;4886;4949;5000;5086;5130;5186;5245;5311;5368;5421;5470;5507;5545;5565;5580;5586;5586;5586
4;168;194;162;1;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1329;1407;1503;1575;1695;1899;1971;1979;2105;2201;2321;2441;2561;2705;2777;2987;3083;3275;3394;3424;3567;3707;3774;3868;4034;4123;4385;4495;4541;4741;4873;5090;5249;5319;5446;5637;5745;5826;6042;6171;6445;6598;6653;6848;7023;7101;7252;7451;7554;7866;7993;8058;8266;8403;8646;8802;8871;9018;9191;9378;9561;9734;9913;10022;10240;10367;10560;10760;10971;11054;11223;11363;11556;11672;11819;11958;12125;12275;12405;12529;12644;12795;12936;13088;13238;13414;13503
5;22;130;186;0;0;0.523599;0.785398;2;1;93;203;263;365;493;581;669;701;797;892;908;993;1086;1134;1181;1242;1283;1352;1463;1508;1511;1571;1626;1680;1738;1794;1856;1893;1968;2011;2073;2120;2133;2175;2221;2250;2274;2325;2360;2434;2471;2482;2538;2577;2635;2679;2699;2730;2782;2811;2831;2887;2918;2987;3024;3038;3084;3130;3149;3185;3238;3262;3345;3372;3390;3446;3481;3543;3583;3598;3631;3671;3706;3742;3774;3806;3828;3864;3887;3915;3950;3983;3996;4021;4041;4069;4084;4105;4120;4139;4153;4161;4168;4174;4177;4179;4179;4179;4179;4179
6;116;185;191;1;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;726;844;965;985;1095;1224;1285;1355;1436;1497;1596;1761;1819;1825;1920;1995;2083;2172;2254;2356;2403;2546;2606;2735;2802;2823;2916;2990;3036;3097;3186;3243;3385;3449;3474;3580;3651;3766;3841;3886;3943;4038;4096;4129;4237;4297;4430;4498;4527;4615;4689;4724;4779;4866;4906;5029;5078;5100;5181;5235;5322;5386;5409;5462;5531;5597;5666;5730;5796;5845;5918;5968;6031;6102;6183;6208;6265;6301;6359;6391;6426;6458;6492;6521;6544;6561;6574;6591;6603;6609;6609;6609;6609
7;180;167;14;0;0;0.523599;0.785398;2;1;93;203;263;365;489;573;659;700;804;911;931;1030;1150;1209;1270;1348;1404;1500;1660;1717;1723;1818;1893;1983;2076;2167;2273;2330;2482;2557;2694;2785;2810;2910;3014;3069;3131;3249;3321;3502;3591;3621;3759;3857;4010;4119;4175;4259;4388;4472;4525;4673;4764;4954;5054;5097;5229;5350;5410;5509;5656;5729;5957;6045;6084;6238;6337;6511;6619;6670;6763;6883;7014;7140;7262;7383;7472;7603;7697;7805;7944;8093;8143;8266;8355;8488;8572;8678;8788;8923;9051;9160;9257;9349;9455;9519;9558;9568;9572;9572
8;150;43;151;0;0;0.523599;0.785398;2;1;93;203;263;361;476;556;640;681;781;883;903;997;1103;1154;1203;1265;1310;1380;1497;1536;1541;1610;1659;1727;1784;1849;1916;1945;2049;2088;2178;2227;2240;2305;2365;2388;2438;2507;2539;2658;2700;2728;2807;2857;2952;3015;3041;3097;3171;3208;3254;3340;3386;3508;3563;3597;3674;3741;3776;3842;3923;3964;4110;4160;4202;4293;4354;4478;4553;4598;4668;4759;4869;4969;5074;5173;5236;5362;5433;5545;5653;5769;5790;5879;5921;5983;6032;6061;6101;6132;6156;6178;6199;6220;6242;6265;6290;6304;6310;6310
9;108;66;48;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1329;1403;1499;1566;1683;1876;1946;1953;2068;2159;2265;2375;2478;2600;2666;2822;2902;3032;3121;3145;3240;3336;3393;3445;3548;3616;3762;3836;3858;3971;4047;4165;4247;4289;4353;4446;4503;4538;4643;4702;4824;4887;4912;4997;5070;5104;5164;5246;5285;5413;5461;5487;5570;5626;5724;5791;5822;5874;5945;6018;6092;6167;6237;6294;6379;6438;6512;6610;6716;6759;6855;6924;7035;7109;7197;7295;7409;7523;7634;7735;7837;7982;8119;8271;8391;8509;8556
10;145;102;44;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1328;1405;1497;1565;1679;1867;1929;1937;2052;2136;2242;2347;2451;2577;2637;2818;2899;3059;3160;3186;3306;3421;3481;3559;3694;3772;3983;4076;4111;4275;4382;4556;4680;4738;4837;4986;5074;5133;5302;5402;5615;5727;5766;5908;6039;6098;6200;6352;6432;6661;6759;6793;6953;7067;7241;7376;7428;7529;7679;7810;7970;8102;8258;8372;8536;8659;8797;9003;9200;9283;9447;9576;9768;9873;10017;10170;10324;10458;10576;10681;10770;10871;10960;11038;11097;11158;11178
11;77;38;129;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1112;1254;1322;1398;1488;1557;1668;1854;1920;1927;2039;2126;2231;2338;2440;2567;2628;2799;2877;3028;3125;3148;3259;3374;3429;3498;3630;3703;3899;3988;4018;4163;4262;4409;4518;4564;4642;4767;4837;4880;5018;5099;5261;5349;5373;5480;5581;5620;5696;5811;5867;6032;6101;6127;6236;6314;6434;6515;6553;6619;6706;6788;6877;6952;7039;7099;7184;7249;7317;7418;7508;7549;7618;7676;7772;7812;7882;7943;8012;8078;8127;8154;8176;8188;8196;8197;8197;8197;8197
12;117;26;29;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;842;959;983;1088;1218;1283;1349;1431;1492;1588;1746;1797;1803;1893;1959;2036;2115;2184;2272;2304;2430;2473;2575;2630;2642;2718;2785;2809;2860;2934;2969;3091;3137;3164;3245;3297;3386;3447;3464;3521;3589;3611;3654;3730;3760;3863;3898;3922;3987;4030;4047;4099;4144;4157;4243;4257;4285;4325;4341;4399;4418;4436;4468;4486;4524;4544;4573;4591;4599;4631;4639;4665;4677;4699;4704;4720;4728;4735;4740;4744;4747;4751;4753;4754;4754;4754;4754;4754;4754;4754;4754;4754
13;160;192;77;1;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1329;1407;1503;1575;1695;1899;1971;1979;2105;2201;2321;2441;2561;2705;2777;2986;3081;3270;3387;3416;3558;3697;3762;3858;4023;4110;4371;4480;4528;4725;4855;5070;5224;5294;5422;5611;5716;5791;6009;6134;6406;6556;6608;6798;6981;7053;7192;7408;7511;7845;7989;8040;8268;8433;8682;8872;8947;9089;9291;9481;9692;9875;10064;10210;10413;10576;10754;11002;11238;11337;11534;11675;11898;12030;12190;12351;12540;12715;12878;13028;13162;13330;13468;13593;13700;13803;13857
